location_name,location_code
"USGS 02335700 BIG CREEK NEAR ALPHARETTA, GA",2335700
"USGS 02335450 CHATTAHOOCHEE RIVER ABOVE ROSWELL, GA",2335450
"USGS 02335450 CHATTAHOOCHEE RIVER ABOVE ROSWELL, GA",2335450
"USGS 02334500 CHATTAHOOCHEE RIVER NEAR BUFORD, GA",2334500
"USGS 02335000 CHATTAHOOCHEE RIVER NEAR NORCROSS, GA",2335000
"USGS 02335350 CROOKED CREEK NEAR NORCROSS, GA",2335350
"USGS 02334430 CHATTAHOOCHEE RIVER AT BUFORD DAM, NEAR BUFORD, GA",2334430
"USGS 02334430 CHATTAHOOCHEE RIVER AT BUFORD DAM, NEAR BUFORD, GA",2334430
